Time,Noise (dB)
2025-07-26 01:12:51.269356,57.0
2025-07-26 01:12:51.469347,58.0
2025-07-26 01:12:51.669338,59.0
2025-07-26 01:12:51.869330,59.0
2025-07-26 01:12:52.069321,60.0
2025-07-26 01:12:52.269312,60.0
2025-07-26 01:12:52.469304,58.0
2025-07-26 01:12:52.669295,58.0
2025-07-26 01:12:52.869287,58.0
2025-07-26 01:12:53.069278,57.0
2025-07-26 01:12:53.269269,57.0
2025-07-26 01:12:53.469261,56.0
2025-07-26 01:12:53.669252,57.0
2025-07-26 01:12:53.869243,58.0
2025-07-26 01:12:54.069235,57.0
2025-07-26 01:12:54.269226,58.0
2025-07-26 01:12:54.469218,58.0
2025-07-26 01:12:54.669209,59.0
2025-07-26 01:12:54.869200,60.0
2025-07-26 01:12:55.069192,58.0
2025-07-26 01:12:55.269183,57.0
2025-07-26 01:12:55.469174,55.0
2025-07-26 01:12:55.669166,55.0
2025-07-26 01:12:55.869157,58.0
2025-07-26 01:12:56.069148,59.0
2025-07-26 01:12:56.269140,60.0
2025-07-26 01:12:56.469131,60.0
2025-07-26 01:12:56.669123,61.0
2025-07-26 01:12:56.869114,61.0
2025-07-26 01:12:57.069105,60.0
2025-07-26 01:12:57.269097,56.0
2025-07-26 01:12:57.469088,54.0
2025-07-26 01:12:57.669079,55.0
2025-07-26 01:12:57.869071,57.0
2025-07-26 01:12:58.069062,59.0
2025-07-26 01:12:58.269054,60.0
2025-07-26 01:12:58.469045,60.0
2025-07-26 01:12:58.669036,60.0
2025-07-26 01:12:58.869028,58.0
2025-07-26 01:12:59.069019,58.0
2025-07-26 01:12:59.269010,58.0
2025-07-26 01:12:59.469002,56.0
